SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
MAHABANK	EQ	47.75	3.33	36,727.17	134.08	63.11
KPIGREEN	EQ	431.50	2.55	8,495.83	14.51	63.11
ITDCEM	EQ	558.15	0.07	9,588.32	11.20	62.68
TRANSRAILL	EQ	495.00	1.44	6,645.67	12.62	62.14
IRB	EQ	47.55	1.49	28,715.45	130.94	61.82
VADILALIND	EQ	5,724.00	0.35	4,114.31	1.08	61.63
ALEMBICLTD	EQ	107.75	7.61	2,766.82	56.15	61.46
INDIAGLYCO	EQ	1,255.00	6.46	3,885.67	4.89	61.13
HCC	EQ	27.40	3.36	4,985.11	226.24	61.06
IGL	EQ	207.21	2.10	29,009.43	29.63	60.98
IGIL	EQ	402.45	2.90	17,392.27	15.22	60.22
CSBBANK	EQ	341.55	6.39	5,925.41	17.35	58.97
PRESTIGE	EQ	1,187.55	0.84	51,151.37	4.98	58.59
PAGEIND	EQ	43,330.00	0.79	48,329.74	0.13	58.15
LIQUIDADD	EQ	1,065.56	0.01	2,765.33	5.42	57.74
AMIORG	EQ	2,519.90	1.91	10,315.07	2.29	57.45
STARHEALTH	EQ	352.30	2.68	20,707.72	16.39	56.93
IOB	EQ	37.90	1.26	72,982.48	151.02	56.72
SENORES	EQ	575.40	2.55	2,649.92	9.59	56.06
RAJESHEXPO	EQ	200.50	3.18	5,919.96	27.25	54.65
JBCHEPHARM	EQ	1,580.85	0.90	24,610.23	3.45	54.48
SOLARINDS	EQ	11,299.95	0.94	1,02,253.31	0.46	52.13
CONCOR	EQ	713.50	0.57	43,473.15	7.29	51.89
CHENNPETRO	EQ	609.00	0.09	9,068.70	8.49	51.64
ZAGGLE	EQ	358.25	0.93	4,807.90	14.17	51.44
ENGINERSIN	EQ	166.75	2.66	9,372.06	31.07	51.30
PIDILITIND	EQ	2,861.10	0.36	1,45,529.50	1.79	51.02
RBA	EQ	73.00	8.94	4,249.10	71.27	50.86
NTPCGREEN	EQ	100.22	1.72	84,448.68	49.43	49.32
GLAXO	EQ	2,860.00	3.00	48,450.13	1.66	47.41
AMBUJACEM	EQ	541.15	1.33	1,33,291.93	8.57	46.36
ZENTEC	EQ	1,450.85	0.44	13,099.78	3.19	46.23
EXIDEIND	EQ	372.80	0.32	31,688.00	12.40	46.09
PREMIERENE	EQ	896.95	0.80	40,432.21	5.14	45.89
GENUSPOWER	EQ	290.00	4.34	8,813.91	15.63	45.66
JASH	EQ	639.40	8.34	4,012.56	7.30	45.57
NSIL	EQ	7,225.05	5.96	3,710.90	0.64	45.47
MGL	EQ	1,400.00	0.87	13,828.89	3.19	44.36
ICIL	EQ	285.05	5.59	5,645.54	15.50	44.11
NLCINDIA	EQ	249.05	1.72	34,534.18	17.63	43.89
TIRUMALCHM	EQ	267.20	10.66	2,735.81	16.38	43.27
PANACEABIO	EQ	466.55	5.00	2,857.65	9.40	43.22
APLAPOLLO	EQ	1,568.25	0.39	43,522.79	2.72	42.48
SIGNATURE	EQ	1,110.00	0.43	15,596.69	3.76	42.46
