Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ABHAPOWER,ST,33.15,4.74,61.62,0.3,0.1
ARVINDPORT,ST,60.1,1.86,102.56,0.17,0.1
CEREBRAINT,BZ,4.83,4.09,54.09,2.06,0.1
SECURKLOUD,EQ,20.86,4.98,69.69,0.46,0.1
PIONEEREMB,EQ,39.66,2.3,122.18,0.24,0.09
SPPPOLY,SM,17.35,0.29,26.7,0.54,0.09
SOMICONVEY,EQ,178.97,0.87,210.82,0.05,0.09
726GS2032,GS,105.5,0.48,156140,0.09,0.09
LORDSCHLO,BE,151.25,2.25,380.45,0.06,0.09
KONTOR,SM,75.85,4.98,46.88,0.12,0.09
USHAFIN,ST,60,4.9,130.43,0.15,0.09
SHRENIK,EQ,0.66,4.76,40.39,13.96,0.09
MIEL,ST,22.75,4.84,40.03,0.4,0.09
DCG,ST,67.25,1.2,122.06,0.13,0.09
PHOGLOBAL,ST,23.1,4.52,44.69,0.38,0.09
READYMIX,ST,77.6,0.58,85.04,0.11,0.09
DIL,BE,2.15,2.38,34.99,4.09,0.09
MARCO,SM,44.95,0.78,84.05,0.2,0.09
SANGANI,SM,72.7,2.11,100.16,0.12,0.08
XTGLOBAL,EQ,35.85,0.45,478.82,0.24,0.08
764IRFC31,NO,1134.9,0.77,1355.43,0.01,0.08
ENERGYDEV,EQ,18.9,1.34,89.78,0.45,0.08
BANARBEADS,EQ,128.9,0.62,85.54,0.07,0.08
842IIFL26,NL,965,0.11,142.1,0.01,0.08
VISHNUINFR,SM,179.95,0.19,442.85,0.04,0.08
SURANAT&P,EQ,19.16,0.1,260.12,0.42,0.08
AXISBPSETF,EQ,12.51,0.24,1112.64,0.64,0.08
JALAN,ST,11.8,4.42,17.15,0.69,0.08
ECAPINSURE,EQ,20,3.9,12.31,0.41,0.08
KAPSTON,EQ,225.8,1.26,458.11,0.04,0.08
94SFL28,YL,1088,0.54,462.28,0.01,0.08
ALPHAGEO,BE,242.7,0.17,154.47,0.03,0.08
