Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
BETA,SM,1841,-0.49,1858.41,0.02,0.37
NGIL,EQ,31.9,-0.99,40.59,1.12,0.37
IRISDOREME,EQ,46.54,-2.02,442.9,0.75,0.36
CPCAP,EQ,403.9,-1.38,734.81,0.09,0.35
RCOM,BE,1.52,-2.56,420.36,21.59,0.33
VERTOZ,BE,8.29,-2.01,706.56,3.87,0.33
ORIENTBELL,EQ,246,-2.28,360.39,0.13,0.32
ZENITHDRUG,ST,88.55,-1.01,151.85,0.35,0.31
KNAGRI,SM,210,-1.36,524.98,0.14,0.3
DELTIC,ST,75.6,-0.53,115.59,0.41,0.3
EROSMEDIA,BZ,6.65,-5,63.78,4.45,0.3
SILGO,EQ,46.82,-3.12,86.6,0.62,0.29
NGLFINE,BE,1050.1,-0.78,648.75,0.03,0.29
PAVNAIND,EQ,356,-1.17,496.73,0.08,0.29
NAVKARURB,BE,13.93,-4.85,312.62,2.03,0.29
IFBAGRO,EQ,477.9,-1.59,447.65,0.06,0.28
PARIN,ST,360,-1.91,400.25,0.08,0.28
BGRENERGY,BE,74.08,-0.03,534.57,0.36,0.27
ANYA,SM,21.7,-0.69,260.4,1.2,0.26
DHRUV,BE,70.15,-0.88,133.05,0.36,0.25
739NHAI26,N8,1015.2,-0.03,665.73,0.02,0.25
AGARWALTUF,SM,101.25,-0.44,178.96,0.25,0.25
GANGAFORGE,EQ,4.63,-4.34,62.41,5.17,0.24
764NABAR31,N2,1098,-0.02,0,0.02,0.24
706GS2028,GS,102.1,-0.17,113331,0.24,0.24
MAITREYA,SM,310.2,-1.05,210.19,0.08,0.24
MOKSH,EQ,14.26,-0.7,119.43,1.65,0.24
NITIRAJ,BE,263.95,-2.96,270.58,0.09,0.23
MANAKSTEEL,EQ,49.23,-1.6,322.62,0.44,0.22
MAXPOSURE,SM,58.9,-1.67,133.94,0.37,0.22
MAHASTEEL,BE,233.5,-4.95,383.74,0.09,0.22
TIRUPATI,SM,717,-1.1,726.32,0.03,0.21
MANORG,EQ,413,-3.19,353.71,0.05,0.21
76NHAI31,NA,1095.51,-0.06,2930.78,0.02,0.21
TPHQ,EQ,1.34,-0.74,146.89,15.57,0.21
MADHUSUDAN,SM,160.75,-0.12,232.61,0.13,0.21
AARVEEDEN,BE,138,-0.22,323.75,0.15,0.21
769HUDCO31,N9,1114.6,-0.11,0,0.02,0.21
SWELECTES,BE,530,-0.07,803.41,0.04,0.2
709GS2054,GS,103.91,-0.75,103910,0.19,0.2
FORGEAUTO,SM,75.5,-1.95,82.45,0.25,0.19
829PFL29,N6,1048,-12.67,2.8,0.02,0.19
UNILEX,SM,49,-4.85,66.72,0.37,0.18
NAGAFERT,BE,4.9,-1.41,293.05,3.67,0.18
ORIENTLTD,EQ,85.7,-1.13,85.7,0.2,0.17
ABSMARINE,ST,100.3,-0.45,246.24,0.17,0.17
S&SPOWER,BE,372.2,-3.49,459.35,0.05,0.17
MYMUDRA,ST,64,-0.7,72.91,0.28,0.17
SSFL,SM,178,-0.11,152.55,0.1,0.17
865IRFC29,NA,1100,-1.7,757.2,0.02,0.17
RAJTV,EQ,64.8,-10,336.4,0.25,0.16
LICNETFGSC,EQ,27.88,-0.07,2429.39,0.58,0.16
ENSER,ST,18.85,-1.82,164.3,0.85,0.16
ROXHITECH,ST,39.25,-2,89.63,0.4,0.16
96IIFL28A,NF,949,-0.11,311.29,0.02,0.15
TIMESGTY,EQ,181,-3.32,162.78,0.08,0.15
EMKAYTOOLS,SM,407,-1.69,434.32,0.04,0.15
888REC29,NF,1143.5,-0.09,334.53,0.01,0.15
HPIL,EQ,119.56,-1.44,136.59,0.12,0.15
1015ECL29,NR,996,-0.1,110.66,0.01,0.15
DURLAX,SM,50.3,-5.54,83.64,0.28,0.14
HOACFOODS,SM,139.4,-2.89,53.57,0.09,0.13
IDFNIFTYET,EQ,250,-1.01,3.57,0.05,0.13
ZENITHSTL,EQ,6.73,-0.44,95.75,1.95,0.13
KCK,ST,38.5,-3.39,244.87,0.33,0.13
JETFREIGHT,EQ,12,-1.48,55.68,1.03,0.12
SGBFEB29XI,GB,8750.01,-0.67,1074.43,0,0.12
BEDMUTHA,EQ,160.05,-1.04,516.38,0.07,0.12
RKDL,EQ,26.3,-4.5,63.12,0.43,0.12
842IIFL26,NL,960.02,-0.87,141.36,0.01,0.12
PENINLAND,BE,24,-1.92,777.6,0.48,0.12
MITCON,EQ,72.51,-0.34,97.44,0.15,0.11
769NHAI31,NE,1136.5,-0.22,1281.59,0.01,0.11
ICDSLTD,EQ,42.23,-6.09,55.01,0.24,0.1
SHIVATEX,EQ,188.02,-1.22,243.72,0.05,0.1
SELMC,EQ,29.64,-0.57,98.21,0.35,0.1
CHETANA,SM,89.2,-3.15,181.97,0.11,0.1
APRAMEYA,ST,98.45,-1.99,187.45,0.1,0.1
GILLANDERS,EQ,99.75,-2.55,212.89,0.1,0.1
SUNLITE,SM,110.5,-3.07,120.22,0.08,0.09
PULZ,SM,45.05,-0.99,98.25,0.2,0.09
SABTNL,BE,507.75,-2,1288.32,0.02,0.09
KRIDHANINF,EQ,4.16,-5.45,39.43,2.06,0.09
TARAPUR,BE,28.7,-2.01,55.97,0.3,0.09
HPTL,SM,118.1,-2.8,140.71,0.07,0.09
QUESTLAB,ST,118,-0.13,193.37,0.07,0.08
MANOMAY,EQ,175.15,-1.8,316.12,0.05,0.08
TRU,BE,7.51,-2.09,87.79,1.05,0.08
MAHICKRA,SM,106.45,-1.71,86.46,0.07,0.08
MWL,SM,162.25,-0.76,397.52,0.05,0.08
KORE,ST,170,-1.45,201.88,0.04,0.07
SUPREMEINF,BZ,106.82,-2,274.51,0.07,0.07
SGBOCT25IV,GB,8875,-0.06,336.35,0,0.07
DGCONTENT,BE,38.06,-2.96,221.46,0.19,0.07
MAHESHWARI,EQ,57.5,-0.19,170.18,0.12,0.07
VR,SM,240,-5.51,213.12,0.03,0.07
AISL,SM,102.6,-5,106.21,0.06,0.06
891NTPC33,N6,1254.01,-1.49,501.56,0,0.06
INNOMET,SM,125.95,-1.87,162.98,0.05,0.06
